accuracy,loss,val_accuracy,val_loss
0.6725999712944031,0.5978991985321045,0.7559999823570251,0.5257241725921631
0.7764999866485596,0.46643900871276855,0.7839999794960022,0.4603716731071472
0.8312000036239624,0.3706090748310089,0.7947999835014343,0.49731698632240295
0.9018999934196472,0.23564577102661133,0.7878000140190125,0.6946552991867065
0.9477999806404114,0.13451653718948364,0.7870000004768372,0.9034570455551147
0.9692999720573425,0.08645562827587128,0.7667999863624573,1.123810887336731
0.9818000197410583,0.05314211919903755,0.7796000242233276,1.1901724338531494
0.9848499894142151,0.04857221618294716,0.7875999808311462,1.135433554649353
0.9898499846458435,0.032602064311504364,0.7847999930381775,1.3010976314544678
0.991349995136261,0.02888794243335724,0.776199996471405,1.2531272172927856
